	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
146	[1.7069504261016846, 1.7150993347167969]	[1.2930495738983154, 0]	[0.9141219472380158, 0.0]	1	2.0	1	0.4570609736190079
147	[1.7671934366226196, 0.8885574340820312]	[0, 2.1114425659179688]	[0.0, -0.2353045773343183]	1	2.0	1	-0.11765228866715916
148	[1.7039177417755127, 1.7368485927581787]	[1.2960822582244873, 0]	[0.912335296364688, 0.0]	1	2.0	1	0.456167648182344
149	[1.6364723443984985, 2.267207384109497]	[1.3635276556015015, 0]	[0.8678476436128761, 0.0]	1	2.0	1	0.43392382180643807
150	[1.5977966785430908, 1.8510496616363525]	[1.4022033214569092, 0]	[0.8382324882090302, 0.0]	1	2.0	1	0.4191162441045151
151	[1.7223103046417236, 1.7809979915618896]	[1.2776896953582764, 0]	[0.9228884330918277, 0.0]	1	2.0	1	0.46144421654591383
152	[1.7042410373687744, 2.11694073677063]	[1.2957589626312256, 0]	[0.9125266360233013, 0.0]	1	2.0	1	0.45626331801165065
153	[1.678860068321228, 1.7416270971298218]	[1.321139931678772, 0]	[0.8968691442813537, 0.0]	1	2.0	1	0.44843457214067683
154	[1.7579339742660522, 1.7468938827514648]	[0, 1.2531061172485352]	[0.0, 0.9359372934113708]	1	2.0	1	0.4679686467056854
155	[1.633414626121521, 1.0268603563308716]	[0, 1.9731396436691284]	[0.0, 0.05299923391952177]	1	2.0	1	0.026499616959760885
156	[1.6234203577041626, 1.643907070159912]	[1.3765796422958374, 0]	[0.8581877730083391, 0.0]	1	2.0	1	0.4290938865041696
157	[1.9622256755828857, 1.7456876039505005]	[0, 1.2543123960494995]	[0.0, 0.9353252052155625]	1	2.0	1	0.46766260260778125
158	[1.8875033855438232, 1.6962313652038574]	[0, 1.3037686347961426]	[0.0, 0.9077246165140878]	1	2.0	1	0.4538623082570439
159	[1.956193447113037, 1.43556547164917]	[0, 1.56443452835083]	[0.0, 0.681413663205376]	1	2.0	1	0.340706831602688
160	[1.2710477113723755, 1.8644990921020508]	[1.7289522886276245, 0]	[0.4686285609045484, 0.0]	1	2.0	1	0.2343142804522742
161	[1.6335375308990479, 1.6688493490219116]	[1.3664624691009521, 0]	[0.8657052587404337, 0.0]	1	2.0	1	0.43285262937021685
