	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
137	[1.66064453125, 2.2521088123321533]	[0.7400871928380407, 0.0694711030800339]	[0.4889345565966158, 0.08698538036894585]	1	1.9249809167141596	1.4729266600306228	0.5676601923847686
138	[2.2422616481781006, 2.1800858974456787]	[0.2033432997118319, 0.26075954136205776]	[0.2526055826459938, 0.3077186573857675]	1	1.9249809167141596	1.4729266600306228	0.4995946384976522
139	[1.9523921012878418, 1.265926718711853]	[0.05745597118528944, 0.8950507909042926]	[0.054720613128691496, 0.2380179199056274]	1	1.9249809167141596	1.4729266600306228	-0.6682511741240942
140	[2.2267544269561768, 1.2107535600662231]	[0.01621171220817298, 0.9436330991024504]	[0.019887789719915696, 0.19887403503216458]	1	1.9249809167141596	1.4729266600306228	-0.9911136691667708
141	[1.7365504503250122, 1.5955804586410522]	[0.3219482367533782, 0.5658170223863741]	[0.23713111876204435, 0.3369895616997912]	1	1.9249809167141596	1.4729266600306228	0.5598075525809202
142	[2.1022331714630127, 1.3688840866088867]	[0.04695595261280644, 0.8823654594016328]	[0.05175640856748058, 0.325490576546602]	1	1.9249809167141596	1.4729266600306228	-0.2994241429649117
143	[1.6114192008972168, 2.3088314533233643]	[0.7856847356781106, 0.04827465118068395]	[0.4803827332454514, 0.06318338186349304]	1	1.9249809167141596	1.4729266600306228	0.4264558066889303
144	[2.239003896713257, 2.1381149291992188]	[0.1961380429432203, 0.2936458889714999]	[0.24301579950036206, 0.3342027701364403]	1	1.9249809167141596	1.4729266600306228	0.5733279193506816
145	[2.1696057319641113, 1.5917809009552002]	[0.07657970329528394, 0.772499526352639]	[0.08956805992627503, 0.4571504656924301]	1	1.9249809167141596	1.4729266600306228	0.44021412530317566
146	[1.2242316007614136, 1.6806436777114868]	[0.829170818971324, 0.1335903302822723]	[0.18592630004259225, 0.09092741371001803]	1	1.9249809167141596	1.4729266600306228	-0.737578567917119
