	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
181	[3.149900436401367, 4.7607316970825195]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
182	[5.268600940704346, 10.509836196899414]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
183	[6.8930277824401855, 2.6313772201538086]	[0, 0.3686227798461914]	[0.0, 0.6013628058708491]	1	2.0	1	0.30068140293542456
184	[2.94710111618042, 9.033536911010742]	[0.05289888381958008, 0]	[0.10299947572980273, 0.0]	1	2.0	1	0.05149973786490136
185	[2.9421627521514893, 5.023529529571533]	[0.05783724784851074, 0]	[0.11232934845833142, 0.0]	1	2.0	1	0.05616467422916571
186	[2.4151458740234375, 4.400881767272949]	[0.5848541259765625, 0]	[0.8276539032813162, 0.0]	1	2.0	1	0.4138269516406581
187	[6.321559906005859, 8.093356132507324]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
188	[3.36047625541687, 6.083795070648193]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
189	[2.9617841243743896, 3.0605249404907227]	[0.03821587562561035, 0]	[0.07497129810138858, 0.0]	1	2.0	1	0.03748564905069429
190	[3.468001365661621, 8.343708992004395]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
191	[8.253107070922852, 7.4516801834106445]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
192	[2.3889975547790527, 10.222296714782715]	[0.6110024452209473, 0]	[0.8486809023759179, 0.0]	1	2.0	1	0.42434045118795893
193	[8.065423011779785, 7.874176979064941]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
194	[2.5064001083374023, 10.028505325317383]	[0.49359989166259766, 0]	[0.7435589302758672, 0.0]	1	2.0	1	0.3717794651379336
195	[5.4357686042785645, 2.6978704929351807]	[0, 0.30212950706481934]	[0.0, 0.512976775090408]	1	2.0	1	0.256488387545204
196	[4.804447650909424, 5.900635242462158]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
197	[5.779155731201172, 7.856639385223389]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
198	[10.137078285217285, 2.6732192039489746]	[0, 0.3267807960510254]	[0.0, 0.5467759034343089]	1	2.0	1	0.27338795171715446
199	[3.0804054737091064, 7.160728454589844]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
200	[2.8209476470947266, 3.8650500774383545]	[0.17905235290527344, 0]	[0.3260449607296323, 0.0]	1	2.0	1	0.16302248036481615
201	[3.759786605834961, 7.274317264556885]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
202	[6.005196571350098, 6.151613235473633]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
203	[3.0375680923461914, 8.443964958190918]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
204	[10.172202110290527, 4.497595310211182]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
205	[2.730950117111206, 9.136096954345703]	[0.26904988288879395, 0]	[0.46571192629511415, 0.0]	1	2.0	1	0.23285596314755708
206	[3.856269359588623, 6.221221923828125]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
207	[4.486873626708984, 2.5967769622802734]	[0, 0.40322303771972656]	[0.0, 0.6438572572915291]	1	2.0	1	0.32192862864576455
208	[4.883044242858887, 4.554539680480957]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
209	[9.600715637207031, 4.8700737953186035]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
210	[5.78313684463501, 5.936487197875977]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
211	[3.393430471420288, 7.036826133728027]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
212	[4.038979530334473, 3.4422454833984375]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
213	[5.157646656036377, 2.5651798248291016]	[0, 0.43482017517089844]	[0.0, 0.6805717656061461]	1	2.0	1	0.34028588280307304
214	[10.389334678649902, 4.942462921142578]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
215	[5.338564395904541, 8.93215560913086]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
216	[6.979568958282471, 3.083167552947998]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
217	[6.327478885650635, 10.625030517578125]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
218	[3.4055564403533936, 3.097961902618408]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
219	[5.9536919593811035, 5.287562847137451]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
220	[6.876855850219727, 2.887160062789917]	[0, 0.11283993721008301]	[0.0, 0.21294702299059054]	1	2.0	1	0.10647351149529527
221	[8.84541130065918, 2.5466816425323486]	[0, 0.45331835746765137]	[0.0, 0.7011391817181334]	1	2.0	1	0.3505695908590667
222	[8.87260627746582, 9.27626895904541]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
223	[8.170110702514648, 3.937757968902588]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
224	[7.765028953552246, 4.513304710388184]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
225	[3.8840854167938232, 10.51036262512207]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
226	[4.446328163146973, 7.9427361488342285]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
227	[9.419082641601562, 6.4067158699035645]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
228	[3.655531406402588, 3.86726450920105]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
229	[5.318724632263184, 4.56380558013916]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
230	[2.361034393310547, 4.145057678222656]	[0.6389656066894531, 0]	[0.8696541668468853, 0.0]	1	2.0	1	0.4348270834234427
231	[2.2497565746307373, 3.6663360595703125]	[0.7502434253692627, 0]	[0.937621653428721, 0.0]	1	2.0	1	0.4688108267143605
232	[4.754405975341797, 3.7921149730682373]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
233	[9.293566703796387, 4.547871112823486]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
234	[3.988729953765869, 8.004172325134277]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
235	[2.3779571056365967, 6.141582012176514]	[0.6220428943634033, 0]	[0.8571484262988065, 0.0]	1	2.0	1	0.42857421314940325
236	[3.593839645385742, 3.454110860824585]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
237	[3.5230560302734375, 6.411479949951172]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
238	[3.100507974624634, 2.3051018714904785]	[0, 0.6948981285095215]	[0.0, 0.9069128480130075]	1	2.0	1	0.45345642400650377
239	[2.863870620727539, 5.097472667694092]	[0.13612937927246094, 0]	[0.25372755064381636, 0.0]	1	2.0	1	0.12686377532190818
