	prices_history	monopoly_history	nash_history	rewards_history	metric_history
163	[1.439638614654541, 1.6480861902236938]	1.9249809213956623	1.4729266600306228	[0.28534910393583995, 0.18272708346296715]	0.09698904644734226
164	[1.771528720855713, 1.1891998052597046]	1.9249809213956623	1.4729266600306228	[0.06610153062087103, 0.16649034072036242]	-0.9307540850217905
165	[1.2788914442062378, 1.7252862453460693]	1.9249809213956623	1.4729266600306228	[0.22792952501512187, 0.09940486505329331]	-0.5172616940629783
166	[1.6983397006988525, 2.016509532928467]	1.9249809213956623	1.4729266600306228	[0.44218844944019875, 0.18027458632566004]	0.7707919801408568
167	[1.7597163915634155, 2.2226672172546387]	1.9249809213956623	1.4729266600306228	[0.4935105579908216, 0.12465946633038125]	0.7520556451720138
168	[1.7351468801498413, 1.412980079650879]	1.9249809213956623	1.4729266600306228	[0.14777987820259575, 0.30118361684325545]	0.013573986716440663
169	[1.3234539031982422, 1.5786457061767578]	1.9249809213956623	1.4729266600306228	[0.22664966403263112, 0.1460971859129429]	-0.3190644446527175
170	[1.2781116962432861, 2.0395567417144775]	1.9249809213956623	1.4729266600306228	[0.2520790960516974, 0.04481261134072717]	-0.6501251413937732
171	[1.3827247619628906, 1.926888108253479]	1.9249809213956623	1.4729266600306228	[0.3194480431890868, 0.0877470301957544]	-0.16871929375797637
172	[2.29764461517334, 2.2793235778808594]	1.9249809213956623	1.4729266600306228	[0.2418713718636057, 0.2565878008727578]	0.22959195188485992
173	[1.309639811515808, 1.896103858947754]	1.9249809213956623	1.4729266600306228	[0.2671690624248551, 0.07404492899452997]	-0.4566858340872276
174	[2.2139697074890137, 2.1890344619750977]	1.9249809213956623	1.4729266600306228	[0.2722926916557575, 0.2946724509423019]	0.5285780634387843
175	[1.6093735694885254, 2.307769536972046]	1.9249809213956623	1.4729266600306228	[0.4795152451564275, 0.06298134963469838]	0.4217880131857066
176	[1.525322437286377, 2.1850082874298096]	1.9249809213956623	1.4729266600306228	[0.4301645893466506, 0.06933274515307301]	0.23412288472790496
177	[1.400287389755249, 1.2124593257904053]	1.9249809213956623	1.4729266600306228	[0.12467673250160081, 0.14027493269358454]	-0.7895236352578877
178	[1.3238372802734375, 1.202519416809082]	1.9249809213956623	1.4729266600306228	[0.12031808340592669, 0.12224228084150998]	-0.8872477900507728
179	[1.3556325435638428, 1.687659502029419]	1.9249809213956623	1.4729266600306228	[0.2652105583217475, 0.1358854192523392]	-0.19533806791932043
180	[2.2553305625915527, 1.9141103029251099]	1.9249809213956623	1.4729266600306228	[0.16319692741022254, 0.46527828372940183]	0.7970314004513996
181	[2.2774243354797363, 1.5193709135055542]	1.9249809213956623	1.4729266600306228	[0.05155781633444059, 0.4348211159812742]	0.17686918747034158
182	[2.264803886413574, 2.253751039505005]	1.9249809213956623	1.4729266600306228	[0.25658837625444575, 0.2658433829443891]	0.33421743817130595
183	[1.3081109523773193, 2.1079390048980713]	1.9249809213956623	1.4729266600306228	[0.2791857518903267, 0.040950416883672805]	-0.5486774699328323
184	[1.6791355609893799, 1.3475332260131836]	1.9249809213956623	1.4729266600306228	[0.1346270769536954, 0.25955209196032236]	-0.22552565200595684
185	[1.2294389009475708, 1.7383979558944702]	1.9249809213956623	1.4729266600306228	[0.19503021341003804, 0.08195451637215753]	-0.7370067641266459
186	[2.1619091033935547, 2.1267600059509277]	1.9249809213956623	1.4729266600306228	[0.2860451039243063, 0.31926699447791274]	0.6959387654179346
187	[1.246930718421936, 2.1052770614624023]	1.9249809213956623	1.4729266600306228	[0.22833150795840718, 0.03298842343342018]	-0.80537390305582
188	[2.2960622310638428, 1.2057085037231445]	1.9249809213956623	1.4729266600306228	[0.015683957995597617, 0.19508347780823374]	-1.0260042235332314
189	[1.2014477252960205, 2.2964413166046143]	1.9249809213956623	1.4729266600306228	[0.1912131162218559, 0.015413791392373654]	-1.0440750635737086
